"reg","inv","period","act","int","sup","str","trd","mix","ehh","Total"
"NLD","Fin. Cons.","97-14",0.941236473383825,0.664803701225824,1.24928902058278,1.00017255221045,0.945479788243269,1.00355363845066,0.967045876464265,0.717414166604689
"POL","Fin. Cons.","97-14",0.871841503989449,0.414051652915723,1.45682723176004,1.04992985873572,1.0003064712261,1.00651883108251,0.996120748858906,0.553767379535726
"PRT","Fin. Cons.","97-14",0.983699375766893,0.721207329421157,1.21881612946044,0.975334947246451,1.01314640502139,1.01462014140354,1.00040082669903,0.867289792689087
"ROU","Fin. Cons.","97-14",0.931786451569679,0.570745089904462,1.22407377371145,0.934265312215876,0.953601679913058,1.00162266776211,1.00879746083204,0.586018768382796
"SVK","Fin. Cons.","97-14",0.861891061366594,0.48477259904193,1.17674805281577,0.963553467115012,1.0008218777175,1.004303876098,0.980497438336485,0.466893835769447
"SVN","Fin. Cons.","97-14",0.948821214705838,0.761422224223289,1.36329373595307,0.890937721727548,1.08398453492361,0.986704688925564,1.03794008263375,0.97415773543273
"SWE","Fin. Cons.","97-14",0.995138619353677,0.438729873759774,1.70663573379397,1.04288327880829,1.0136213308292,1.00822503649415,1.01138810700295,0.803171682773134
"AUT","Prod.","97-07",0.967056086088225,0.971108276759623,1.02048012156569,0.973615562291647,1.00886770073185,1.00449732439555,0.991351527426525,0.93739375733381
"BEL","Prod.","97-07",0.993433667302309,1.22228070379904,0.813564053223896,1.0245228356066,0.974266594406341,1.00304577066375,1.00108418771979,0.990130385064451
"BGR","Prod.","97-07",1.04815459612102,0.346279827657796,2.14789975650468,0.897900982809001,1.00264019183445,1.00068868315785,1.0260345534258,0.720611313415533
"CYP","Prod.","97-07",0.627411291937203,0.281599504470336,0.795720611105255,0.906258812015683,0.994672966850524,0.307125769609749,1.1262201776637,0.0438345894723287
"CZE","Prod.","97-07",0.946818342092725,0.603441897675427,1.24683978789256,0.981531513848482,1.01104180079561,0.996544611490079,0.987432695475395,0.695649350047653
"DEU","Prod.","97-07",0.995621322343225,0.773824526226642,1.14603129774995,1.11984845690166,1.0051965217196,0.999155268809724,1.00479058879224,0.997819374305285
"DNK","Prod.","97-07",1.00072977936316,0.480322648755837,1.36183493890466,1.1866644666189,1.00129010592323,1.00015072320318,1.02419353508332,0.796727316400463
"ESP","Prod.","97-07",0.963256125724114,1.84139513678046,0.517870538804,0.958837438067653,0.991890669139482,1.0076098576582,1.02346083414572,0.900912057607329
"EST","Prod.","97-07",0.937202842698927,1.47966652965276,0.462428835482147,0.87162773318962,1.00142995858812,1.00267749035336,0.985995828344829,0.553388738645538
"FIN","Prod.","97-07",0.944113174861349,0.618150534096509,1.38807967068422,1.00821820071956,0.987724910859792,0.996178946638298,1.00409742106005,0.806931095642942
"FRA","Prod.","97-07",0.967239592220878,1.23760278319865,0.87652793335818,0.962969569540874,0.993138752047839,0.996502456098602,1.00980700208421,1.00976507688679
"GBR","Prod.","97-07",0.934549137582153,1.171456634952,0.728309792856395,0.90941900921667,0.986840067520323,0.99416349061536,0.998670549400811,0.710453015955978
"GRC","Prod.","97-07",0.98667811332042,0.656576960278016,1.14459456426608,1.00079513452983,1.01603512037197,1.00726885062536,1.01202759137874,0.768607246989246
"HRV","Prod.","97-07",0.882960283362058,0.165002627223199,4.21680293804578,0.919604476334802,0.997575932219552,0.996370376699422,1.00885029708154,0.566513034167029
"HUN","Prod.","97-07",0.918801625346217,0.492231496980972,1.54367922660604,0.970511636003595,1.00545704775164,1.00364483480913,1.02233527259119,0.699014014452007
"IRL","Prod.","97-07",0.968980533924843,0.643054930531627,0.896997756845982,0.962805321450762,0.990016196489303,1.01189952430436,1.01070305321661,0.544874185670139
"ITA","Prod.","97-07",0.98967132944207,1.34597860179582,0.829893736659105,1.03739306588014,1.00029415272095,1.0023416813057,1.04550858268947,1.20217057893729
"LTU","Prod.","97-07",0.863482138832717,0.483072969437067,1.03833291829609,0.94964392524888,0.973251839296596,1.00504220190065,1.01146836247053,0.406935283566632
"LUX","Prod.","97-07",0.598415124333872,0.345826851267463,2.64780862174612,0.958190938391179,0.998017623231193,1.13341283951587,1.00272176464403,0.595534194845237
"LVA","Prod.","97-07",0.750541356772889,0.385896858124662,1.51644186097671,0.866372603348368,0.985992054825197,1.00301208554553,1.01150243856178,0.380647394220616
"NLD","Prod.","97-07",0.937076149518048,1.05072175027355,0.797123303154876,0.999568055303931,0.922894277110518,1.00148453882692,0.982497432204066,0.712406882310931
"POL","Prod.","97-07",0.893121617385192,0.369740490233265,1.56959164571944,1.0459448548808,1.00853836324757,1.00270411624869,0.992901322058572,0.544345190237029
"PRT","Prod.","97-07",0.994200091689283,0.929445440791587,0.977815520369781,0.912786097931274,0.993762091391453,1.02300260795656,1.01320632926691,0.849533881729301
"ROU","Prod.","97-07",0.96826250881251,0.588643039331557,1.16865294788592,0.96703951383831,1.00487767917263,1.00055065667077,0.992815108726065,0.642977190391387
"SVK","Prod.","97-07",0.85513379972873,0.444089462307249,1.23208892367798,0.93799932141096,0.999716492309203,1.01873256904734,0.987562225028374,0.441418606246546
"SVN","Prod.","97-07",0.911482102250404,1.03022426242652,0.864104397268683,0.819995099272358,1.00053316521164,0.948005825286363,1.04679494073059,0.660634881769383
"SWE","Prod.","97-07",1.00404721527855,0.301756047744333,2.42305841880759,1.02179946518481,0.999509710907216,1.00259344085527,1.00128609313279,0.752678890570714
"AUT","Fin. Prod.","97-07",0.965441616123761,0.803326032376216,1.54170887642843,0.986073584404566,NA,1.00371845687713,0.994285586933617,1.17666438410151
"BEL","Fin. Prod.","97-07",0.981117281834988,0.896162993149644,1.2291374478574,1.01598905688884,NA,1.00301374331531,1.00087084124518,1.10225564811315
"BGR","Fin. Prod.","97-07",1.02771755189001,0.403763418671475,2.07977469646527,0.923268149199254,NA,1.00142055715378,1.02638598834135,0.818977750498371
"CYP","Fin. Prod.","97-07",0.790394991154755,0.607767038694836,2.68702465411094,0.998014953992722,NA,0.881085601378634,1.01798156696532,1.15544170902139
"CZE","Fin. Prod.","97-07",0.960732994460329,0.554895743050502,1.3740431489085,1.00310723541048,NA,0.997247625368643,0.987387164037742,0.723522966006666
"DEU","Fin. Prod.","97-07",0.98573557319863,0.742297116714508,1.27956580447019,1.11746855707066,NA,0.999590510176257,1.0037612989888,1.04975683735607
"DNK","Fin. Prod.","97-07",0.991366259495826,0.533809281016631,1.90672360794414,1.13656451854523,NA,1.00232645863265,1.01552782918915,1.16735545178007
"ESP","Fin. Prod.","97-07",0.981959828113816,1.20398866063611,0.941457063211724,0.931454925271619,NA,1.00640357570891,1.01775299848517,1.06192303398054
"EST","Fin. Prod.","97-07",0.95245272107115,0.89756443372016,0.864349174263098,0.887713522529141,NA,1.00231551251037,0.988449345601221,0.649875237435204
"FIN","Fin. Prod.","97-07",0.973553494672716,0.543329023222636,1.62396999281901,1.00141076630681,NA,0.998133993270673,1.00419768861883,0.862225861753496
"FRA","Fin. Prod.","97-07",0.970596239143469,0.99743088243923,1.21793009550567,0.9412084485576,NA,0.997718616404696,1.00865583663282,1.11681355301511
"GBR","Fin. Prod.","97-07",0.937570457609472,0.951641172074359,1.10242544306771,0.878439969421555,NA,0.997175066003954,0.998923595019287,0.860680841398045
"GRC","Fin. Prod.","97-07",0.98051068895398,0.681304924453898,1.71971648592787,1.10305405736573,NA,1.00485486429743,1.00746078125871,1.28285921897039
"HRV","Fin. Prod.","97-07",0.88614434595511,0.40845134762503,3.28563025006859,0.923571188354019,NA,1.00255775780489,1.0055019842578,1.10720031977714
"HUN","Fin. Prod.","97-07",0.932272223305328,0.536456577318386,1.49033960019461,0.970382479168043,NA,1.00334329548397,1.01879953745887,0.739339312159282
"IRL","Fin. Prod.","97-07",0.982789594300752,0.729265435506893,1.30204376172447,0.963228025422285,NA,1.00399270490603,1.00482053896869,0.906817581428135
"ITA","Fin. Prod.","97-07",0.980957595160801,0.967245441014974,1.22658656904248,0.984004345640708,NA,1.00249235986403,1.03324986309772,1.18622910270237
"LTU","Fin. Prod.","97-07",0.947863764292756,0.452298403956971,1.46662237185154,0.961333966376601,NA,1.00702125043536,1.01346064479613,0.616891935553063
"LUX","Fin. Prod.","97-07",0.864414861940237,0.760372798688067,1.10200851869259,0.910904312560106,NA,1.02198243998886,1.00062434001995,0.674715991742049
"LVA","Fin. Prod.","97-07",0.825623479013929,0.461692567380896,1.46861999143382,0.876802743671316,NA,1.0028141325984,1.00532751730904,0.494850791900617
"NLD","Fin. Prod.","97-07",0.95215874888848,0.748488029401825,1.15143464780535,0.893401983939552,NA,1.00213791517477,0.982939450468887,0.722162091288098
"POL","Fin. Prod.","97-07",0.913559489599483,0.418678773768063,1.54936191390622,1.07810046165126,NA,1.00304017423078,0.993044851553857,0.636380812610942
"PRT","Fin. Prod.","97-07",0.992101232361294,0.867703554722265,1.19194512292815,0.902482398052528,NA,1.01362395692871,1.0097513181403,0.947793360865203
"ROU","Fin. Prod.","97-07",0.970361036009196,0.629339406514753,1.17105839957044,0.985154409737278,NA,1.00153147741995,0.992584160980848,0.700378940628432
"SVK","Fin. Prod.","97-07",0.892571984431829,0.490098761286479,1.34538872524595,0.945726879841812,NA,1.00893188091811,0.986882157828438,0.554201268623427
"SVN","Fin. Prod.","97-07",0.959635426196758,0.781895329504963,1.63688655470942,0.851779414780607,NA,0.979215973930109,1.02197948177311,1.04693876027234
"SWE","Fin. Prod.","97-07",1.01884350829682,0.408580200553674,1.90740152020615,1.05220217990752,NA,1.0024501362716,1.00131100660179,0.838605856072706
"AUT","Fin. Cons.","97-07",0.970366202103064,0.795475803389368,1.47631105008626,1.02771330853461,0.999588285835775,1.00291390278788,0.994702750903414,1.16785954661098
"BEL","Fin. Cons.","97-07",0.973430451266401,0.868017150177577,1.2795524989087,1.03705225106286,0.992927618989049,1.00399508648288,1.00093513560926,1.11878618420489
"BGR","Fin. Cons.","97-07",1.05048172193666,0.424153090799008,1.94502007775596,0.880089560810304,0.900016980494712,1.00215369655403,1.02948758803625,0.708220095633375
"CYP","Fin. Cons.","97-07",0.832383308501972,0.627981910855757,2.09423093562054,1.16917486880675,1.07168039751332,0.907297420899912,1.0155757830117,1.26386835143081
"CZE","Fin. Cons.","97-07",0.953842560470948,0.578624456573375,1.3342131872034,1.01154588394799,0.994205286143997,0.997791525714914,0.985900891655247,0.728506510366727
"DEU","Fin. Cons.","97-07",0.986080714303315,0.752215319814839,1.25306019729803,1.08177276057378,1.00215300835028,0.99955877536801,1.00358696923444,1.01078782061266
"DNK","Fin. Cons.","97-07",0.985832318708139,0.574450066963526,1.70537634749467,1.14151276559941,1.04597675897226,1.0031096618721,1.01573492664972,1.17491697496745
"ESP","Fin. Cons.","97-07",0.974049352812766,1.1312152743919,0.977081201208168,0.950413487871458,1.02542442650807,1.0065258352201,1.017624378128,1.0746958181807
"EST","Fin. Cons.","97-07",0.948054075304477,0.842434678352347,0.90404215389471,0.946479666879985,0.972089777393628,1.00254626530325,0.988442857275275,0.658311864502756
"FIN","Fin. Cons.","97-07",0.966436629652743,0.553938357393363,1.61261439401856,1.0340626440337,1.01006691511676,1.00003031016496,1.00435027747059,0.905650675613935
"FRA","Fin. Cons.","97-07",0.968620411224729,0.929336518704511,1.24491568766233,0.978099749642747,0.981868006442514,0.99779242836267,1.00822071171894,1.08267631243814
"GBR","Fin. Cons.","97-07",0.939072526829099,0.907613236938245,1.17513905980589,0.897058844054915,0.971980079787145,0.99801867018072,0.999077758135801,0.870774036115107
"GRC","Fin. Cons.","97-07",0.993934265470962,0.688229355563295,1.55361313474885,1.08496197348182,1.04934330089359,1.00487334126216,1.00661234817481,1.22388166840936
"HRV","Fin. Cons.","97-07",0.881155350772151,0.510061010373608,2.4724430810526,1.11069829418814,1.05330102858731,1.00268903129767,1.00483970139717,1.30982288791237
"HUN","Fin. Cons.","97-07",0.921445742928523,0.567844680640288,1.45488343576471,0.97709590897455,1.00555088866344,1.00337013519336,1.02107726576672,0.766281878621526
"IRL","Fin. Cons.","97-07",0.970194585524182,0.771115987623212,1.19693243104712,1.1035139307571,1.03199251612725,1.00458564238271,1.00446765985261,1.02902394778549
"ITA","Fin. Cons.","97-07",0.97073638835587,0.941610463386552,1.23844694731883,0.983874317248685,1.02611403987095,1.00264861159085,1.03333205007413,1.18406052593517
"LTU","Fin. Cons.","97-07",0.916333580391792,0.495589706113429,1.46200437422042,0.968969161865494,0.980399192270951,1.00745209471235,1.01361269059904,0.644071222661188
"LUX","Fin. Cons.","97-07",0.800309687012422,0.828838957881886,1.07253256127061,1.00879518799607,0.96527405308356,1.01533157449297,1.00048639528316,0.703738691695323
"LVA","Fin. Cons.","97-07",0.810332315119687,0.50594593252,1.44277769730758,0.86920090043972,1.00198652363489,1.00395371474428,1.00452364426571,0.519544306711185
"NLD","Fin. Cons.","97-07",0.941288434806206,0.707503035198202,1.2987204091597,1.00304571960229,0.952897550655177,1.00284444258492,0.97978930604215,0.812269043797607
"POL","Fin. Cons.","97-07",0.904823154656437,0.451830387851949,1.53024750181072,1.06944956026945,0.995422272413854,1.00317775051001,0.992993743295327,0.663426606022879
"PRT","Fin. Cons.","97-07",0.988098440942058,0.856285371606527,1.16396698324598,0.963741894454974,1.00506685141119,1.0110640363937,1.00868624714511,0.972858887107326
"ROU","Fin. Cons.","97-07",0.944999123376588,0.656377266814618,1.2101579329091,0.951490982327886,0.936785862035401,1.00226777910989,0.992804697936122,0.665762893113689
"SVK","Fin. Cons.","97-07",0.8620568125399,0.533522421563164,1.31610762436595,1.03596074484905,1.01092220068192,1.00694969703083,0.986787439507084,0.629901134710492
"SVN","Fin. Cons.","97-07",0.943452903167164,0.800458629976984,1.37699176377719,0.906361519917363,1.10886499311463,0.98461068642648,1.0200158224602,1.04964404144958
"SWE","Fin. Cons.","97-07",1.00921602823137,0.460974079381146,1.73524487774793,1.0856019861489,1.01235731245995,1.00282025183771,1.00133352244442,0.89089746052696
"AUT","Prod.","07-14",1.0015819839049,0.920432626348354,1.07462238183218,1.00372989748639,0.999756195198985,1.0001470282296,1.01049841204026,1.00471951757209
"BEL","Prod.","07-14",1.00753396220905,0.905432260716245,0.971674668310006,0.994314049491126,1.00893459779077,1.00112938805838,0.999082967938218,0.889436393945741
"BGR","Prod.","07-14",1.01729554738457,0.730580355615935,1.02242117044426,0.998497020256269,1.02227642153239,1.00106753896204,1.00686146959494,0.781795534367605
"CYP","Prod.","07-14",0.998548962903617,1.14721495298807,1.04154701915103,0.937262029899104,0.985294104958419,1.04880756092942,1.11245099394475,1.28557272574461
"CZE","Prod.","07-14",1.00289235476192,0.752145619811523,1.08766786009324,0.976665417776875,1.00789442207838,1.00130972120757,1.00804200127454,0.815193032979737
"DEU","Prod.","07-14",0.999506003739946,0.912360669446098,0.965226285309307,1.00047418332642,1.00069433618609,0.999835580524972,0.99142093029132,0.873524522747894
"DNK","Prod.","07-14",1.01139402825029,0.839663959327584,1.06107718397358,0.991937647875614,1.00034718522739,0.997482569908263,0.997296153385888,0.889482609096517
"ESP","Prod.","07-14",1.03745914379602,0.557081417192113,1.53117562094625,1.10318186533714,1.02127400773323,0.996227662735875,1.00100872276937,0.994261291851
